DATE,STATE,UR
2021-08-01,Delaware,5.5
2021-09-01,Delaware,5.2
2021-10-01,Delaware,5.1
2021-11-01,Delaware,4.9
2021-12-01,Delaware,4.7
2022-01-01,Delaware,4.6
2022-02-01,Delaware,4.5
2022-03-01,Delaware,4.4
2022-04-01,Delaware,4.3
2022-05-01,Delaware,4.3
2022-06-01,Delaware,4.3
2022-07-01,Delaware,4.4
2022-08-01,Delaware,4.5
2022-09-01,Delaware,4.6
2022-10-01,Delaware,4.7
2022-11-01,Delaware,4.7
2022-12-01,Delaware,4.6
2021-01-01,Florida,5.9
2021-02-01,Florida,5.6
2021-03-01,Florida,5.3
2021-04-01,Florida,5.1
2021-05-01,Florida,4.9
2021-06-01,Florida,4.8
2021-07-01,Florida,4.6
2021-08-01,Florida,4.4
2021-09-01,Florida,4.1
2021-10-01,Florida,3.9
2021-11-01,Florida,3.7
2021-12-01,Florida,3.6
2022-01-01,Florida,3.5
2022-02-01,Florida,3.3
2022-03-01,Florida,3.1
2022-04-01,Florida,3.0
2022-05-01,Florida,2.9
2022-06-01,Florida,2.8
2022-07-01,Florida,2.7
2022-08-01,Florida,2.7
2022-09-01,Florida,2.7
2022-10-01,Florida,2.7
2022-11-01,Florida,2.7
2022-12-01,Florida,2.7
2021-01-01,Georgia,4.8
2021-02-01,Georgia,4.6
2021-03-01,Georgia,4.4
2021-04-01,Georgia,4.2
2021-05-01,Georgia,4.1
2021-06-01,Georgia,4.0
2021-07-01,Georgia,3.8
2021-08-01,Georgia,3.7
2021-09-01,Georgia,3.5
2021-10-01,Georgia,3.4
2021-11-01,Georgia,3.3
2021-12-01,Georgia,3.2
2022-01-01,Georgia,3.1
2022-02-01,Georgia,3.0
2022-03-01,Georgia,3.0
2022-04-01,Georgia,2.9
2022-05-01,Georgia,2.9
2022-06-01,Georgia,3.0
2022-07-01,Georgia,3.0
2022-08-01,Georgia,3.1
2022-09-01,Georgia,3.1
2022-10-01,Georgia,3.1
2022-11-01,Georgia,3.1
2022-12-01,Georgia,3.1
2021-01-01,Hawaii,9.5
2021-02-01,Hawaii,9.2
2021-03-01,Hawaii,8.4
2021-04-01,Hawaii,7.7
2021-05-01,Hawaii,6.9
2021-06-01,Hawaii,6.3
2021-07-01,Hawaii,5.5
2021-08-01,Hawaii,4.8
2021-09-01,Hawaii,4.0
2021-10-01,Hawaii,3.4
2021-11-01,Hawaii,3.3
2021-12-01,Hawaii,3.2
2022-01-01,Hawaii,3.2
2022-02-01,Hawaii,3.2
2022-03-01,Hawaii,3.3
2022-04-01,Hawaii,3.3
2022-05-01,Hawaii,3.4
2022-06-01,Hawaii,3.4
2022-07-01,Hawaii,3.5
2022-08-01,Hawaii,3.6
2022-09-01,Hawaii,3.7
2022-10-01,Hawaii,3.7
2022-11-01,Hawaii,3.7
2022-12-01,Hawaii,3.7
2021-01-01,Idaho,4.1
2021-02-01,Idaho,4.0
2021-03-01,Idaho,3.9
2021-04-01,Idaho,3.8
2021-05-01,Idaho,3.6
2021-06-01,Idaho,3.6
2021-07-01,Idaho,3.5
2021-08-01,Idaho,3.4
2021-09-01,Idaho,3.2
2021-10-01,Idaho,3.1
2021-11-01,Idaho,3.0
2021-12-01,Idaho,2.8
2022-01-01,Idaho,2.7
2022-02-01,Idaho,2.6
2022-03-01,Idaho,2.5
2022-04-01,Idaho,2.5
2022-05-01,Idaho,2.5
2022-06-01,Idaho,2.6
2022-07-01,Idaho,2.7
2022-08-01,Idaho,2.8
2022-09-01,Idaho,2.8
2022-10-01,Idaho,2.8
2022-11-01,Idaho,2.8
2022-12-01,Idaho,2.8
2021-01-01,Illinois,7.2
2021-02-01,Illinois,7.0
2021-03-01,Illinois,6.8
2021-04-01,Illinois,6.6
2021-05-01,Illinois,6.4
2021-06-01,Illinois,6.4
2021-07-01,Illinois,6.1
2021-08-01,Illinois,5.9
2021-09-01,Illinois,5.5
2021-10-01,Illinois,5.3
2021-11-01,Illinois,5.0
2021-12-01,Illinois,4.9
2022-01-01,Illinois,4.8
2022-02-01,Illinois,4.6
2022-03-01,Illinois,4.5
2022-04-01,Illinois,4.5
2022-05-01,Illinois,4.4
